,title,classe,labels,title_tokenized,title_string
57,ETUDE TECHNIQUE DES IMPACTS DE LA VARIABILITE CLIMATIQUE DE LA RIVIERE D’IKOPA (Région Analamanga),Environnement et Ressources Naturelles,1,"['etude', 'technique', 'impact', 'variabilite', 'climatique', 'riviere', 'ikopa', 'région', 'analamanga']",etude technique impact variabilite climatique riviere ikopa région analamanga
58,PROPOSITION DE METHODOLOGIE DE CHANGEMENT DE FLUIDE FRIGORIGENE DE CLIMATISATION DES GRANDES SURFACES,Environnement et Ressources Naturelles,1,"['proposition', 'methodologie', 'changement', 'fluide', 'frigorigene', 'climatisation', 'grand', 'surfaces']",proposition methodologie changement fluide frigorigene climatisation grand surfaces
59,ETUDE COMPARATIVE DE LA VARIABILITE CLIMATIQUE ET PALUDISME DANS LE DISTRICT DE TOLIARA I SUR LA PERIODE DE 2012 A 2017,Environnement et Ressources Naturelles,1,"['etude', 'comparatif', 'variabilite', 'climatique', 'paludisme', 'district', 'toliara', 'periode']",etude comparatif variabilite climatique paludisme district toliara periode
60,"ETUDE DES CLIMOGRAMMES DES AEROPORTS INTERNATIONAUX (Cas d’Ivato, Mahajanga, Toamasina et Hahaya)",Environnement et Ressources Naturelles,1,"['etude', 'climogramme', 'aeroport', 'internationaux', 'cas', 'ivato', 'mahajanga', 'toamasina', 'hahaya']",etude climogramme aeroport internationaux cas ivato mahajanga toamasina hahaya
61,SECURISATION PAR LA TECHNOLOGIE DMVPN ET OPTIMISATION PAR LA TECHNOLOGIE PfR DES COMMUNICATIONS INTER-ENTREPRISES,Informatique et Télécommunications,4,"['securisation', 'technologie', 'dmvpn', 'optimisation', 'technologie', 'pfr', 'communication', 'inter', 'entreprises']",securisation technologie dmvpn optimisation technologie pfr communication inter entreprises
62,CRYPTOGRAPHIE APPLIQUEE A LA TELEVISION A PEAGE,Informatique et Télécommunications,4,"['cryptographie', 'appliquee', 'television', 'peage']",cryptographie appliquee television peage
63,CONCEPTION D’UN SYSTEME D’IDENTIFICATION PAR RADIOFREQUENCE POUR LA BIBLIOTHEQUE NUMERIQUE DE L’ESPA,Informatique et Télécommunications,4,"['conception', 'systeme', 'identification', 'radiofrequence', 'bibliotheque', 'numeriqu', 'espa']",conception systeme identification radiofrequence bibliotheque numeriqu espa
64,DETECTION AUTOMATIQUE DE LA RELATION DE VOISINAGE AU SEIN D’UN RESEAU LTE,Informatique et Télécommunications,4,"['detection', 'automatique', 'relation', 'voisinage', 'sein', 'reseau', 'lte']",detection automatique relation voisinage sein reseau lte
65,EVALUATION TRISANNUELLE DU LIEN ‘PLUIE-AFFAIBLISSEMENT’ DANS LA LIAISON HERTZIENNE ANKORONDRANO – DGM AMPANDRIANOMBY,Informatique et Télécommunications,4,"['evaluation', 'trisannuel', 'lien', 'pluie', 'affaiblissemer', 'liaison', 'hertzienne', 'ankorondrano', 'dgm', 'ampandrianomby']",evaluation trisannuel lien pluie affaiblissemer liaison hertzienne ankorondrano dgm ampandrianomby
66,CALIBRATION DU MODELE DE PROPAGATION STANDARD (SPM). CAS D’UTILISATION : 4G,Informatique et Télécommunications,4,"['calibration', 'modele', 'propagation', 'standard', 'spm', 'cas', 'utilisation']",calibration modele propagation standard spm cas utilisation
67,COMPARAISON DU TRACKING PAR LE FILTRE DE KALMAN ET LSTM APPLIQUES AU BEAMFORMING,Informatique et Télécommunications,4,"['comparaison', 'tracking', 'filtre', 'kalman', 'lstm', 'appliques', 'beamforming']",comparaison tracking filtre kalman lstm appliques beamforming
68,PROJET D’IMPLEMENTATION D’UN SYSTEME TOIP ET IVR AU SEIN DU MINISTERE DE LA SANTE PUBLIQUE,Informatique et Télécommunications,4,"['projet', 'implementation', 'systeme', 'toip', 'ivr', 'sein', 'ministere', 'sante', 'public']",projet implementation systeme toip ivr sein ministere sante public
69,"ASPECT GÉOTECHNIQUE SUR LA PROPOSITION DE RÉHABILITATION DE LA RNP7 DU PK 363+978 AU PK 370+500, RÉGION HAUTE MATSIATRA",Bâtiments et Constructions,0,"['aspect', 'géotechnique', 'proposition', 'réhabilitation', 'région', 'haute', 'matsiatra']",aspect géotechnique proposition réhabilitation région haute matsiatra
70,ETUDE D’AMENAGEMENT DE LA ROUTE NATIONALE TEMPORAIRE 12A,Bâtiments et Constructions,0,"['etude', 'amenagemer', 'route', 'national', 'temporaire']",etude amenagemer route national temporaire
71,PROJET DE RECONSTRUCTION DU PONT FIHERENANA EN ENCORBELLEMENT SUR LA RN9 AU PK 05+200,Bâtiments et Constructions,0,"['projet', 'reconstruction', 'pont', 'fiherenana', 'encorbellement']",projet reconstruction pont fiherenana encorbellement
72,CONTRIBUTION A L’ELARGISSEMENT DU BY-PASS RELIANT LA RN7 (Iavoloha Pk 0 + 000) ET LA RN2 (Ambohimangakely Pk 15 + 200),Bâtiments et Constructions,0,"['contribution', 'elargissement', 'pass', 'relier', 'iavoloha', 'ambohimangakely']",contribution elargissement pass relier iavoloha ambohimangakely
73,RECONNAISSANCE GÉOTECHNIQUE ET RÉHABILITATION DE LA ROUTE NATIONALE TEMPORAIRE 14 RELIANT IFANADIANA – IKONGO,Bâtiments et Constructions,0,"['reconnaissance', 'géotechnique', 'réhabilitation', 'route', 'national', 'temporaire', 'relier', 'ifanadiana', 'ikongo']",reconnaissance géotechnique réhabilitation route national temporaire relier ifanadiana ikongo
74,DIAGNOSTIC ET ETUDE DE RENFORCEMENT DU PONT DE LA MAHAVAVY PK 570+700 DE LA RN6,Bâtiments et Constructions,0,"['diagnostic', 'etude', 'renforcement', 'pont', 'mahavavy']",diagnostic etude renforcement pont mahavavy
75,"ÉTUDES DE L’AMÉNAGEMENT DE LA ROUTE NATIONALE TEMPORAIRE N°12A DU PK 3+100 AU PK 23+100, DANS LA RÉGION ANOSY",Bâtiments et Constructions,0,"['étude', 'aménagement', 'route', 'national', 'temporaire', 'région', 'anosy']",étude aménagement route national temporaire région anosy
76,ÉTUDES TECHNIQUES DE LA REALISATION DE LA VOIE RAPIDE RELIANT L’AEROPORT D’IVATO AU VILLAGE ARTISANAL,Bâtiments et Constructions,0,"['étude', 'technique', 'realisation', 'voie', 'rapide', 'relier', 'aeroport', 'ivato', 'village', 'artisanal']",étude technique realisation voie rapide relier aeroport ivato village artisanal
77,Étude d’Aménagement de la Route Nationale N°09 Sous Tronçon Manja - Mahabo du PK355+000 au PK375+000.,Bâtiments et Constructions,0,"['étude', 'aménagement', 'route', 'national', 'sou', 'tronçon', 'manja', 'mahabo']",étude aménagement route national sou tronçon manja mahabo
78,ETUDE D’AMENAGEMENT DE LA ROUTE NATIONALE N°9 RELIANT BEVOAY ET DABARA DU PK 379+901 AU PK 399+943,Bâtiments et Constructions,0,"['etude', 'amenagemer', 'route', 'national', 'reliant', 'bevoay', 'dabara']",etude amenagemer route national reliant bevoay dabara
79,ETUDE DE LA RECONSTRUCTION DU PONT DE FARAHANTSANA SUR LA RIP DE MAHITSY AU PK 39+810 DANS LA REGION ANALAMANGA,Bâtiments et Constructions,0,"['etude', 'reconstruction', 'pont', 'farahantsana', 'rip', 'mahitsy', 'region', 'analamanga']",etude reconstruction pont farahantsana rip mahitsy region analamanga
80,ETUDE DE LA RN S 13 DANS LA REGION ANOSY (SECTION AMBOVOMBE FORT DAUPHIN) : AMENAGEMENT DU PK 370+200 AU PK 384+700 ET REHABILITATION DU PK 384+700 AU PK 392+200,Bâtiments et Constructions,0,"['etude', 'region', 'anosy', 'section', 'ambovombe', 'fort', 'dauphin', 'amenagement', 'rehabilitation']",etude region anosy section ambovombe fort dauphin amenagement rehabilitation
